['3', '=', '4', '=', '3', '-', '-', '3', '=', '3', '0']
['|', '3', '-', '5', '=', '=', '5', '-', '2', '|', '1']
['3', '$', '0', '$', '0', '0', '$', '1', '|', '1', '|']
['$', '4', '0', '$', '1', '-', '3', '|', '4', '=', '3']
['4', '$', '0', '5', '=', '=', '=', '4', '|', '0', '0']
['$', '2', '0', '|', '0', '2', '0', '|', '3', '0', '2']
['5', '-', '-', '2', '0', '$', '0', '3', '$', '0', '$']
['$', '0', '0', '0', '0', '$', '0', '$', '6', '=', '5']
['6', '=', '4', '=', '=', '4', '0', '$', '$', '0', '|']
['$', '2', '=', '=', '3', '-', '-', '3', '$', '0', '1']
['2', '0', '1', '-', '-', '-', '3', '=', '4', '0', '0']
